State/Area,Year,Month,UnemploymentRate
Alabama,2014,01,7.2
Alabama,2014,02,7.1
Alabama,2014,03,7.1
Alabama,2014,04,7
Alabama,2014,05,6.9
Alabama,2014,06,6.9
Alabama,2014,07,6.8
Alabama,2014,08,6.7
Alabama,2014,09,6.6
Alabama,2014,10,6.4
Alabama,2014,11,6.3
Alabama,2014,12,6.2
Alabama,2015,01,6.2
Alabama,2015,02,6.1
Alabama,2015,03,6.1
Alabama,2015,04,6.1
Alabama,2015,05,6.1
Alabama,2015,06,6.1
Alabama,2015,07,6.1
Alabama,2015,08,6.1
Alabama,2015,09,6.1
Alabama,2015,10,6
Alabama,2015,11,6
Alabama,2015,12,6
Alabama,2016,01,5.9
Alabama,2016,02,5.9
Alabama,2016,03,5.9
Alabama,2016,04,5.8
Alabama,2016,05,5.8
Alabama,2016,06,5.8
Alabama,2016,07,5.8
Alabama,2016,08,5.8
Alabama,2016,09,5.8
Alabama,2016,10,5.8
Alabama,2016,11,5.7
Alabama,2016,12,5.6
Alabama,2017,01,5.4
Alabama,2017,02,5.2
Alabama,2017,03,5
Alabama,2017,04,4.8
Alabama,2017,05,4.6
Alabama,2017,06,4.5
Alabama,2017,07,4.3
Alabama,2017,08,4.2
Alabama,2017,09,4.1
Alabama,2017,10,4
Alabama,2017,11,4
Alabama,2017,12,4
Alabama,2018,01,4
Alabama,2018,02,4
Alabama,2018,03,4
Alabama,2018,04,4
Alabama,2018,05,4
Alabama,2018,06,4
Alabama,2018,07,3.9
Alabama,2018,08,3.9
Alabama,2018,09,3.9
Alabama,2018,10,3.8
Alabama,2018,11,3.8
Alabama,2018,12,3.8
Alabama,2019,01,3.7
Alabama,2019,02,3.6
Alabama,2019,03,3.4
Alabama,2019,04,3.3
Alabama,2019,05,3.2
Alabama,2019,06,3
Alabama,2019,07,3
Alabama,2019,08,3
Alabama,2019,09,3
Alabama,2019,10,3
Alabama,2019,11,3
Alabama,2019,12,3.1
Alabama,2020,01,3.2
Alabama,2020,02,3.3
Alabama,2020,03,3.4
Alabama,2020,04,13.8
Alabama,2020,05,10.4
Alabama,2020,06,8.6
Alabama,2020,07,7.5
Alabama,2020,08,6.3
Alabama,2020,09,5.9
Alabama,2020,10,5.2
Alabama,2020,11,4.8
Alabama,2020,12,4.5
Alabama,2021,01,4.1
Alabama,2021,02,3.9
Alabama,2021,03,3.7
Alabama,2021,04,3.7
Alabama,2021,05,3.5
Alabama,2021,06,3.5
Alabama,2021,07,3.3
Alabama,2021,08,3.2
Alabama,2021,09,3
Alabama,2021,10,2.9
Alabama,2021,11,2.7
Alabama,2021,12,2.7
Alabama,2022,01,2.6
Alabama,2022,02,2.6
Alabama,2022,03,2.5
Alabama,2022,04,2.5
Alabama,2022,05,2.5
Alabama,2022,06,2.5
Alabama,2022,07,2.5
Alabama,2022,08,2.5
Alabama,2022,09,2.5
Alabama,2022,10,2.5
Alabama,2022,11,2.4
Alabama,2022,12,2.3
Alabama,2023,01,2.3
Alabama,2023,02,2.3
Alabama,2023,03,2.3
Alabama,2023,04,2.3
Alabama,2023,05,2.3
Alabama,2023,06,2.3
Alabama,2023,07,2.4
Alabama,2023,08,2.5
Alabama,2023,09,2.6
Alabama,2023,10,2.7
Alabama,2023,11,2.8
Alabama,2023,12,2.8
Alabama,2024,01,2.9
Alabama,2024,02,2.9
Alabama,2024,03,2.9
Alabama,2024,04,2.9
Alabama,2024,05,2.9
Alabama,2024,06,2.9
Alabama,2024,07,3
Alabama,2024,08,3.1
Alabama,2024,09,3.3
Alabama,2024,10,3.3
Alabama,2024,11,3.3
Alabama,2024,12,3.3
Alabama,2025,01,3.3
Alabama,2025,02,3.3
Alabama,2025,03,3.3
Alabama,2025,04,3.3
Alabama,2025,05,3.3
Alabama,2025,06,3.2
Alabama,2025,07,3
Alabama,2025,08,2.9
Alabama,2025,09,2.8
Alaska,2000,01,6.2
Alaska,2000,02,6.2
Alaska,2000,03,6.2
Alaska,2000,04,6.3
Alaska,2000,05,6.3
Alaska,2000,06,6.4
Alaska,2000,07,6.4
Alaska,2000,08,6.4
Alaska,2000,09,6.3
Alaska,2000,10,6.3
Alaska,2000,11,6.3
Alaska,2000,12,6.2
Alaska,2001,01,6.2
Alaska,2001,02,6.1
Alaska,2001,03,6.1
Alaska,2001,04,6.1
Alaska,2001,05,6.1
Alaska,2001,06,6.1
Alaska,2001,07,6.2
Alaska,2001,08,6.3
Alaska,2001,09,6.4
Alaska,2001,10,6.5
Alaska,2001,11,6.6
Alaska,2001,12,6.7
Alaska,2002,01,6.8
Alaska,2002,02,6.9
Alaska,2002,03,6.9
Alaska,2002,04,7.0
Alaska,2002,05,7.1
Alaska,2002,06,7.2
Alaska,2002,07,7.2
Alaska,2002,08,7.3
Alaska,2002,09,7.3
Alaska,2002,10,7.4
Alaska,2002,11,7.4
Alaska,2002,12,7.5
Alaska,2003,01,7.5
Alaska,2003,02,7.6
Alaska,2003,03,7.6
Alaska,2003,04,7.7
Alaska,2003,05,7.7
Alaska,2003,06,7.8
Alaska,2003,07,7.8
Alaska,2003,08,7.8
Alaska,2003,09,7.7
Alaska,2003,10,7.7
Alaska,2003,11,7.6
Alaska,2003,12,7.6
Alaska,2004,01,7.6
Alaska,2004,02,7.6
Alaska,2004,03,7.6
Alaska,2004,04,7.6
Alaska,2004,05,7.5
Alaska,2004,06,7.5
Alaska,2004,07,7.4
Alaska,2004,08,7.3
Alaska,2004,09,7.3
Alaska,2004,10,7.2
Alaska,2004,11,7.2
Alaska,2004,12,7.2
Alaska,2005,01,7.1
Alaska,2005,02,7.0
Alaska,2005,03,6.9
Alaska,2005,04,6.9
Alaska,2005,05,6.8
Alaska,2005,06,6.8
Alaska,2005,07,6.8
Alaska,2005,08,6.9
Alaska,2005,09,6.9
Alaska,2005,10,7.0
Alaska,2005,11,7.0
Alaska,2005,12,7.0
Alaska,2006,01,6.9
Alaska,2006,02,6.9
Alaska,2006,03,6.8
Alaska,2006,04,6.7
Alaska,2006,05,6.7
Alaska,2006,06,6.7
Alaska,2006,07,6.6
Alaska,2006,08,6.5
Alaska,2006,09,6.5
Alaska,2006,10,6.4
Alaska,2006,11,6.4
Alaska,2006,12,6.3
Alaska,2007,01,6.3
Alaska,2007,02,6.2
Alaska,2007,03,6.2
Alaska,2007,04,6.2
Alaska,2007,05,6.2
Alaska,2007,06,6.2
Alaska,2007,07,6.3
Alaska,2007,08,6.3
Alaska,2007,09,6.3
Alaska,2007,10,6.3
Alaska,2007,11,6.3
Alaska,2007,12,6.2
Alaska,2008,01,6.2
Alaska,2008,02,6.2
Alaska,2008,03,6.3
Alaska,2008,04,6.3
Alaska,2008,05,6.4
Alaska,2008,06,6.5
Alaska,2008,07,6.6
Alaska,2008,08,6.6
Alaska,2008,09,6.6
Alaska,2008,10,6.7
Alaska,2008,11,6.8
Alaska,2008,12,6.9
Alaska,2009,01,7.1
Alaska,2009,02,7.4
Alaska,2009,03,7.6
Alaska,2009,04,7.7
Alaska,2009,05,7.8
Alaska,2009,06,7.9
Alaska,2009,07,8.0
Alaska,2009,08,8.0
Alaska,2009,09,8.1
Alaska,2009,10,8.1
Alaska,2009,11,8.1
Alaska,2009,12,8.2
Alaska,2010,01,8.3
Alaska,2010,02,8.3
Alaska,2010,03,8.2
Alaska,2010,04,8.1
Alaska,2010,05,8.0
Alaska,2010,06,7.9
Alaska,2010,07,7.8
Alaska,2010,08,7.8
Alaska,2010,09,7.8
Alaska,2010,10,7.9
Alaska,2010,11,7.9
Alaska,2010,12,7.9
Alaska,2011,01,7.8
Alaska,2011,02,7.8
Alaska,2011,03,7.7
Alaska,2011,04,7.6
Alaska,2011,05,7.6
Alaska,2011,06,7.6
Alaska,2011,07,7.6
Alaska,2011,08,7.6
Alaska,2011,09,7.6
Alaska,2011,10,7.5
Alaska,2011,11,7.5
Alaska,2011,12,7.4
Alaska,2012,01,7.3
Alaska,2012,02,7.3
Alaska,2012,03,7.2
Alaska,2012,04,7.2
Alaska,2012,05,7.2
Alaska,2012,06,7.2
Alaska,2012,07,7.1
Alaska,2012,08,7.1
Alaska,2012,09,7.0
Alaska,2012,10,7.0
Alaska,2012,11,7.0
Alaska,2012,12,7.0
Alaska,2013,01,7.0
Alaska,2013,02,7.0
Alaska,2013,03,6.9
Alaska,2013,04,6.9
Alaska,2013,05,6.9
Alaska,2013,06,6.9
Alaska,2013,07,6.9
Alaska,2013,08,7.0
Alaska,2013,09,6.9
Alaska,2013,10,6.9
Alaska,2013,11,6.9
Alaska,2013,12,6.9
Alaska,2014,01,6.9
Alaska,2014,02,6.9
Alaska,2014,03,6.9
Alaska,2014,04,6.9
Alaska,2014,05,6.9
Alaska,2014,06,6.8
Alaska,2014,07,6.8
Alaska,2014,08,6.8
Alaska,2014,09,6.7
Alaska,2014,10,6.6
Alaska,2014,11,6.4
Alaska,2014,12,6.3
Alaska,2015,01,6.3
Alaska,2015,02,6.3
Alaska,2015,03,6.3
Alaska,2015,04,6.3
Alaska,2015,05,6.3
Alaska,2015,06,6.2
Alaska,2015,07,6.2
Alaska,2015,08,6.2
Alaska,2015,09,6.3
Alaska,2015,10,6.3
Alaska,2015,11,6.3
Alaska,2015,12,6.4
Alaska,2016,01,6.4
Alaska,2016,02,6.5
Alaska,2016,03,6.5
Alaska,2016,04,6.6
Alaska,2016,05,6.6
Alaska,2016,06,6.7
Alaska,2016,07,6.7
Alaska,2016,08,6.7
Alaska,2016,09,6.7
Alaska,2016,10,6.7
Alaska,2016,11,6.7
Alaska,2016,12,6.7
Alaska,2017,01,6.7
Alaska,2017,02,6.6
Alaska,2017,03,6.6
Alaska,2017,04,6.6
Alaska,2017,05,6.6
Alaska,2017,06,6.6
Alaska,2017,07,6.6
Alaska,2017,08,6.6
Alaska,2017,09,6.6
Alaska,2017,10,6.6
Alaska,2017,11,6.6
Alaska,2017,12,6.6
Alaska,2018,01,6.5
Alaska,2018,02,6.4
Alaska,2018,03,6.3
Alaska,2018,04,6.1
Alaska,2018,05,6.0
Alaska,2018,06,6.0
Alaska,2018,07,5.9
Alaska,2018,08,5.9
Alaska,2018,09,5.9
Alaska,2018,10,6.0
Alaska,2018,11,6.0
Alaska,2018,12,6.1
Alaska,2019,01,6.0
Alaska,2019,02,5.9
Alaska,2019,03,5.8
Alaska,2019,04,5.7
Alaska,2019,05,5.6
Alaska,2019,06,5.6
Alaska,2019,07,5.6
Alaska,2019,08,5.6
Alaska,2019,09,5.5
Alaska,2019,10,5.4
Alaska,2019,11,5.3
Alaska,2019,12,5.2
Alaska,2020,01,5.3
Alaska,2020,02,5.4
Alaska,2020,03,5.4
Alaska,2020,04,11.6
Alaska,2020,05,11.7
Alaska,2020,06,11.2
Alaska,2020,07,11.1
Alaska,2020,08,8.6
Alaska,2020,09,7.8
Alaska,2020,10,7.2
Alaska,2020,11,7.0
Alaska,2020,12,7.1
Alaska,2021,01,7.0
Alaska,2021,02,7.0
Alaska,2021,03,7.0
Alaska,2021,04,7.1
Alaska,2021,05,6.9
Alaska,2021,06,6.8
Alaska,2021,07,6.4
Alaska,2021,08,6.2
Alaska,2021,09,5.9
Alaska,2021,10,5.7
Alaska,2021,11,5.4
Alaska,2021,12,5.4
Alaska,2022,01,5.2
Alaska,2022,02,4.9
Alaska,2022,03,4.6
Alaska,2022,04,4.4
Alaska,2022,05,4.2
Alaska,2022,06,4.1
Alaska,2022,07,4.0
Alaska,2022,08,3.8
Alaska,2022,09,3.9
Alaska,2022,10,4.0
Alaska,2022,11,4.0
Alaska,2022,12,4.0
Alaska,2023,01,4.0
Alaska,2023,02,4.0
Alaska,2023,03,4.0
Alaska,2023,04,4.0
Alaska,2023,05,4.1
Alaska,2023,06,4.2
Alaska,2023,07,4.3
Alaska,2023,08,4.4
Alaska,2023,09,4.4
Alaska,2023,10,4.5
Alaska,2023,11,4.5
Alaska,2023,12,4.5
Alaska,2024,01,4.4
Alaska,2024,02,4.4
Alaska,2024,03,4.4
Alaska,2024,04,4.5
Alaska,2024,05,4.5
Alaska,2024,06,4.6
Alaska,2024,07,4.7
Alaska,2024,08,4.7
Alaska,2024,09,4.8
Alaska,2024,10,4.7
Alaska,2024,11,4.7
Alaska,2024,12,4.7
Alaska,2025,01,4.7
Alaska,2025,02,4.7
Alaska,2025,03,4.7
Alaska,2025,04,4.7
Alaska,2025,05,4.7
Alaska,2025,06,4.7
Alaska,2025,07,4.8
Alaska,2025,08,4.7
Alaska,2025,09,4.7
Arizona,2000,01,4.1
Arizona,2000,02,4.0
Arizona,2000,03,4.0
Arizona,2000,04,4.0
Arizona,2000,05,4.0
Arizona,2000,06,4.0
Arizona,2000,07,4.0
Arizona,2000,08,4.0
Arizona,2000,09,3.9
Arizona,2000,10,3.9
Arizona,2000,11,3.9
Arizona,2000,12,4.0
Arizona,2001,01,4.0
Arizona,2001,02,4.1
Arizona,2001,03,4.2
Arizona,2001,04,4.2
Arizona,2001,05,4.3
Arizona,2001,06,4.4
Arizona,2001,07,4.6
Arizona,2001,08,4.8
Arizona,2001,09,5.1
Arizona,2001,10,5.4
Arizona,2001,11,5.7
Arizona,2001,12,5.9
Arizona,2002,01,6.0
Arizona,2002,02,6.1
Arizona,2002,03,6.2
Arizona,2002,04,6.2
Arizona,2002,05,6.3
Arizona,2002,06,6.3
Arizona,2002,07,6.2
Arizona,2002,08,6.2
Arizona,2002,09,6.2
Arizona,2002,10,6.1
Arizona,2002,11,6.1
Arizona,2002,12,6.0
Arizona,2003,01,6.0
Arizona,2003,02,5.9
Arizona,2003,03,5.9
Arizona,2003,04,5.9
Arizona,2003,05,5.9
Arizona,2003,06,5.9
Arizona,2003,07,5.9
Arizona,2003,08,5.8
Arizona,2003,09,5.7
Arizona,2003,10,5.6
Arizona,2003,11,5.5
Arizona,2003,12,5.4
Arizona,2004,01,5.4
Arizona,2004,02,5.3
Arizona,2004,03,5.3
Arizona,2004,04,5.2
Arizona,2004,05,5.1
Arizona,2004,06,5.0
Arizona,2004,07,4.9
Arizona,2004,08,4.8
Arizona,2004,09,4.7
Arizona,2004,10,4.6
Arizona,2004,11,4.6
Arizona,2004,12,4.6
Arizona,2005,01,4.6
Arizona,2005,02,4.6
Arizona,2005,03,4.6
Arizona,2005,04,4.7
Arizona,2005,05,4.7
Arizona,2005,06,4.7
Arizona,2005,07,4.7
Arizona,2005,08,4.7
Arizona,2005,09,4.7
Arizona,2005,10,4.6
Arizona,2005,11,4.6
Arizona,2005,12,4.5
Arizona,2006,01,4.4
Arizona,2006,02,4.4
Arizona,2006,03,4.3
Arizona,2006,04,4.3
Arizona,2006,05,4.4
Arizona,2006,06,4.4
Arizona,2006,07,4.3
Arizona,2006,08,4.3
Arizona,2006,09,4.2
Arizona,2006,10,4.1
Arizona,2006,11,4.1
Arizona,2006,12,4.0
Arizona,2007,01,3.9
Arizona,2007,02,3.8
Arizona,2007,03,3.7
Arizona,2007,04,3.6
Arizona,2007,05,3.5
Arizona,2007,06,3.5
Arizona,2007,07,3.4
Arizona,2007,08,3.5
Arizona,2007,09,3.6
Arizona,2007,10,3.8
Arizona,2007,11,4.0
Arizona,2007,12,4.1
Arizona,2008,01,4.2
Arizona,2008,02,4.4
Arizona,2008,03,4.5
Arizona,2008,04,4.8
Arizona,2008,05,5.1
Arizona,2008,06,5.5
Arizona,2008,07,5.9
Arizona,2008,08,6.2
Arizona,2008,09,6.6
Arizona,2008,10,6.9
Arizona,2008,11,7.3
Arizona,2008,12,7.8
Arizona,2009,01,8.2
Arizona,2009,02,8.6
Arizona,2009,03,9.0
Arizona,2009,04,9.4
Arizona,2009,05,9.6
Arizona,2009,06,9.8
Arizona,2009,07,10.0
Arizona,2009,08,10.2
Arizona,2009,09,10.3
Arizona,2009,10,10.4
Arizona,2009,11,10.5
Arizona,2009,12,10.6
Arizona,2010,01,10.6
Arizona,2010,02,10.7
Arizona,2010,03,10.6
Arizona,2010,04,10.6
Arizona,2010,05,10.5
Arizona,2010,06,10.4
Arizona,2010,07,10.3
Arizona,2010,08,10.2
Arizona,2010,09,10.2
Arizona,2010,10,10.1
Arizona,2010,11,10.1
Arizona,2010,12,10.0
Arizona,2011,01,9.9
Arizona,2011,02,9.8
Arizona,2011,03,9.7
Arizona,2011,04,9.7
Arizona,2011,05,9.6
Arizona,2011,06,9.6
Arizona,2011,07,9.6
Arizona,2011,08,9.5
Arizona,2011,09,9.4
Arizona,2011,10,9.2
Arizona,2011,11,9.1
Arizona,2011,12,8.9
Arizona,2012,01,8.8
Arizona,2012,02,8.7
Arizona,2012,03,8.6
Arizona,2012,04,8.5
Arizona,2012,05,8.5
Arizona,2012,06,8.4
Arizona,2012,07,8.4
Arizona,2012,08,8.3
Arizona,2012,09,8.2
Arizona,2012,10,8.1
Arizona,2012,11,8.1
Arizona,2012,12,8.1
Arizona,2013,01,8.1
Arizona,2013,02,8.1
Arizona,2013,03,8.1
Arizona,2013,04,8.0
Arizona,2013,05,8.0
Arizona,2013,06,7.9
Arizona,2013,07,7.9
Arizona,2013,08,7.8
Arizona,2013,09,7.7
Arizona,2013,10,7.6
Arizona,2013,11,7.5
Arizona,2013,12,7.4
Arizona,2014,01,7.2
Arizona,2014,02,7.1
Arizona,2014,03,7.0
Arizona,2014,04,7.0
Arizona,2014,05,6.9
Arizona,2014,06,6.8
Arizona,2014,07,6.8
Arizona,2014,08,6.7
Arizona,2014,09,6.7
Arizona,2014,10,6.6
Arizona,2014,11,6.5
Arizona,2014,12,6.5
Arizona,2015,01,6.4
Arizona,2015,02,6.3
Arizona,2015,03,6.3
Arizona,2015,04,6.2
Arizona,2015,05,6.2
Arizona,2015,06,6.1
Arizona,2015,07,6.1
Arizona,2015,08,6.1
Arizona,2015,09,6.0
Arizona,2015,10,5.9
Arizona,2015,11,5.9
Arizona,2015,12,5.8
Arizona,2016,01,5.7
Arizona,2016,02,5.7
Arizona,2016,03,5.6
Arizona,2016,04,5.6
Arizona,2016,05,5.6
Arizona,2016,06,5.5
Arizona,2016,07,5.5
Arizona,2016,08,5.4
Arizona,2016,09,5.4
Arizona,2016,10,5.4
Arizona,2016,11,5.3
Arizona,2016,12,5.3
Arizona,2017,01,5.2
Arizona,2017,02,5.2
Arizona,2017,03,5.1
Arizona,2017,04,5.0
Arizona,2017,05,5.0
Arizona,2017,06,4.9
Arizona,2017,07,4.9
Arizona,2017,08,4.8
Arizona,2017,09,4.8
Arizona,2017,10,4.8
Arizona,2017,11,4.9
Arizona,2017,12,4.9
Arizona,2018,01,4.9
Arizona,2018,02,4.8
Arizona,2018,03,4.8
Arizona,2018,04,4.7
Arizona,2018,05,4.7
Arizona,2018,06,4.7
Arizona,2018,07,4.7
Arizona,2018,08,4.7
Arizona,2018,09,4.8
Arizona,2018,10,4.9
Arizona,2018,11,5.0
Arizona,2018,12,5.0
Arizona,2019,01,5.0
Arizona,2019,02,5.0
Arizona,2019,03,4.9
Arizona,2019,04,4.9
Arizona,2019,05,4.8
Arizona,2019,06,4.8
Arizona,2019,07,4.8
Arizona,2019,08,4.8
Arizona,2019,09,4.7
Arizona,2019,10,4.7
Arizona,2019,11,4.7
Arizona,2019,12,4.7
Arizona,2020,01,4.8
Arizona,2020,02,4.8
Arizona,2020,03,4.9
Arizona,2020,04,13.8
Arizona,2020,05,11.2
Arizona,2020,06,9.8
Arizona,2020,07,9.0
Arizona,2020,08,7.9
Arizona,2020,09,7.5
Arizona,2020,10,7.0
Arizona,2020,11,6.7
Arizona,2020,12,6.5
Arizona,2021,01,6.4
Arizona,2021,02,6.2
Arizona,2021,03,6.0
Arizona,2021,04,5.8
Arizona,2021,05,5.6
Arizona,2021,06,5.3
Arizona,2021,07,4.9
Arizona,2021,08,4.6
Arizona,2021,09,4.2
Arizona,2021,10,4.0
Arizona,2021,11,3.8
Arizona,2021,12,3.7
Arizona,2022,01,3.6
Arizona,2022,02,3.6
Arizona,2022,03,3.6
Arizona,2022,04,3.7
Arizona,2022,05,3.7
Arizona,2022,06,3.7
Arizona,2022,07,3.8
Arizona,2022,08,3.8
Arizona,2022,09,3.8
Arizona,2022,10,3.8
Arizona,2022,11,3.8
Arizona,2022,12,3.7
Arizona,2023,01,3.7
Arizona,2023,02,3.6
Arizona,2023,03,3.6
Arizona,2023,04,3.6
Arizona,2023,05,3.6
Arizona,2023,06,3.7
Arizona,2023,07,3.7
Arizona,2023,08,3.7
Arizona,2023,09,3.8
Arizona,2023,10,3.7
Arizona,2023,11,3.7
Arizona,2023,12,3.6
Arizona,2024,01,3.5
Arizona,2024,02,3.4
Arizona,2024,03,3.3
Arizona,2024,04,3.4
Arizona,2024,05,3.4
Arizona,2024,06,3.5
Arizona,2024,07,3.6
Arizona,2024,08,3.7
Arizona,2024,09,3.8
Arizona,2024,10,3.9
Arizona,2024,11,3.9
Arizona,2024,12,3.8
Arizona,2025,01,3.9
Arizona,2025,02,3.9
Arizona,2025,03,4.1
Arizona,2025,04,4.1
Arizona,2025,05,4.1
Arizona,2025,06,4.1
Arizona,2025,07,4.1
Arizona,2025,08,4.1
Arizona,2025,09,4.2
Arkansas,2000,01,4.3
Arkansas,2000,02,4.3
Arkansas,2000,03,4.2
Arkansas,2000,04,4.2
Arkansas,2000,05,4.1
Arkansas,2000,06,4.1
Arkansas,2000,07,4.1
Arkansas,2000,08,4.1
Arkansas,2000,09,4.1
Arkansas,2000,10,4.1
Arkansas,2000,11,4.2
Arkansas,2000,12,4.2
Arkansas,2001,01,4.3
Arkansas,2001,02,4.4
Arkansas,2001,03,4.5
Arkansas,2001,04,4.5
Arkansas,2001,05,4.6
Arkansas,2001,06,4.6
Arkansas,2001,07,4.7
Arkansas,2001,08,4.8
Arkansas,2001,09,4.9
Arkansas,2001,10,5.1
Arkansas,2001,11,5.2
Arkansas,2001,12,5.3
Arkansas,2002,01,5.4
Arkansas,2002,02,5.5
Arkansas,2002,03,5.5
Arkansas,2002,04,5.4
Arkansas,2002,05,5.4
Arkansas,2002,06,5.3
Arkansas,2002,07,5.2
Arkansas,2002,08,5.2
Arkansas,2002,09,5.2
Arkansas,2002,10,5.2
Arkansas,2002,11,5.3
Arkansas,2002,12,5.4
Arkansas,2003,01,5.4
Arkansas,2003,02,5.5
Arkansas,2003,03,5.6
Arkansas,2003,04,5.7
Arkansas,2003,05,5.8
Arkansas,2003,06,5.9
Arkansas,2003,07,6.0
Arkansas,2003,08,6.0
Arkansas,2003,09,5.9
Arkansas,2003,10,5.8
Arkansas,2003,11,5.8
Arkansas,2003,12,5.7
Arkansas,2004,01,5.7
Arkansas,2004,02,5.7
Arkansas,2004,03,5.7
Arkansas,2004,04,5.7
Arkansas,2004,05,5.7
Arkansas,2004,06,5.6
Arkansas,2004,07,5.5
Arkansas,2004,08,5.5
Arkansas,2004,09,5.5
Arkansas,2004,10,5.4
Arkansas,2004,11,5.4
Arkansas,2004,12,5.4
Arkansas,2005,01,5.4
Arkansas,2005,02,5.3
Arkansas,2005,03,5.3
Arkansas,2005,04,5.2
Arkansas,2005,05,5.2
Arkansas,2005,06,5.2
Arkansas,2005,07,5.2
Arkansas,2005,08,5.3
Arkansas,2005,09,5.3
Arkansas,2005,10,5.3
Arkansas,2005,11,5.3
